cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57016, 0.01, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.92572, 0.01, 160,1, 2, 200, 200, 200, 
0, 10.03, 2.38427, 0.01, 352,2, 4, 200, 200, 200, 
0, 15.035, 2.90704, 0.01, 584,7, 7, 200, 200, 200, 
0, 20.04, 3.53583, 0.01, 841,5, 10, 200, 200, 200, 
0, 25.045, 4.33962, 0.01, 1217,8, 10, 200, 200, 200, 
0, 30.05, 2.68472, 0.01, 735,4, 10, 101, 101, 101, 
0, 35.055, 3.2859, 0.01, 858,6, 11, 101, 101, 101, 
0, 40.06, 1.94751, 0.01, 465,2, 5, 49, 49, 49, 
0, 45.065, 2.38565, 0.01, 495,2, 6, 49, 49, 49, 
0, 50.07, 2.92104, 0.01, 528,2, 8, 49, 49, 49, 
0, 55.075, 3.59926, 0.01, 603,3, 7, 49, 49, 49, 
0, 60.08, 2.12762, 0.01, 294,1, 3, 23, 23, 23, 
0, 65.085, 2.59077, 0.01, 305,2, 3, 23, 23, 23, 
0, 70.09, 3.1411, 0.01, 310,2, 3, 23, 23, 23, 
0, 75.095, 1.74674, 0.01, 144,0, 1, 10, 10, 10, 
0, 80.1, 2.11427, 0.01, 141,0, 2, 10, 10, 10, 
0, 85.105, 2.60778, 0.01, 145,0, 2, 10, 10, 10, 
0, 90.11, 3.20312, 0.01, 157,0, 2, 10, 10, 10, 
0, 95.115, 1.88521, 0.01, 81,0, 0, 4, 4, 4, 
0, 100.12, 2.28858, 0.01, 81,0, 0, 4, 4, 4, 
0, 105.125, 2.80841, 0.01, 81,2, 0, 4, 4, 4, 
0, 110.13, 3.42322, 0.01, 81,2, 0, 4, 4, 4, 
0, 115.135, 4.15191, 0.01, 84,2, 0, 4, 4, 4, 
0, 120.14, 2.46417, 0.01, 39,0, 0, 1, 1, 1, 
0, 125.145, 2.99961, 0.01, 38,0, 0, 1, 1, 1, 
0, 130.15, 1.95492, 0.01, 20,0, 0, 0, 0, 0, 
0, 135.155, 2.37133, 0.01, 19,0, 0, 0, 0, 0, 
0, 140.16, 2.88219, 0.01, 19,0, 0, 0, 0, 0, 
0, 145.165, 3.53995, 0.01, 18,0, 0, 0, 0, 0, 
0, 150.17, 2.0582, 0.01, 8,0, 0, 0, 0, 0, 
0, 155.175, 2.54335, 0.01, 8,0, 0, 0, 0, 0, 
0, 160.18, 3.06487, 0.01, 8,0, 0, 0, 0, 0, 
0, 165.185, 3.79821, 0.01, 6,0, 0, 0, 0, 0, 
0, 170.19, 2.24227, 0.01, 2,0, 0, 0, 0, 0, 
0, 175.195, 2.73869, 0.01, 2,0, 0, 0, 0, 0, 
0, 180.2, 3.36092, 0.01, 1,0, 0, 0, 0, 0, 
0, 185.205, 4.09954, 0.01, 1,0, 0, 0, 0, 0, 
0, 190.21, 2.65193, 0.01, 0,0, 0, 0, 0, 0, 
0, 195.215, 3.19574, 0.01, 0,0, 0, 0, 0, 0, 
0, 200.22, 1.87406, 0.01, 0,0, 0, 0, 0, 0, 
0, 205.225, 2.32398, 0.01, 0,0, 0, 0, 0, 0, 
0, 210.23, 2.83879, 0.01, 0,0, 0, 0, 0, 0, 
0, 215.235, 1.62578, 0.01, 0,0, 0, 0, 0, 0, 
