cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57023, 0.1, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.90113, 0.1, 177,17, 2, 200, 200, 200, 
0, 10.03, 2.34778, 0.1, 393,37, 3, 200, 200, 200, 
0, 15.035, 2.89532, 0.1, 633,63, 4, 200, 200, 200, 
0, 20.04, 3.50721, 0.1, 914,90, 4, 200, 200, 200, 
0, 25.045, 2.3411, 0.1, 681,71, 1, 109, 109, 109, 
0, 30.05, 2.84909, 0.1, 779,81, 1, 109, 109, 109, 
0, 35.055, 3.49778, 0.1, 918,95, 1, 109, 109, 109, 
0, 40.06, 1.94332, 0.1, 477,52, 0, 49, 49, 49, 
0, 45.065, 2.38037, 0.1, 507,52, 0, 49, 49, 49, 
0, 50.07, 2.87778, 0.1, 539,55, 0, 49, 49, 49, 
0, 55.075, 3.52354, 0.1, 583,61, 0, 49, 49, 49, 
0, 60.08, 2.10109, 0.1, 306,33, 0, 24, 24, 24, 
0, 65.085, 2.56969, 0.1, 315,37, 0, 24, 24, 24, 
0, 70.09, 3.16876, 0.1, 331,38, 0, 24, 24, 24, 
0, 75.095, 3.8572, 0.1, 354,41, 0, 24, 24, 24, 
0, 80.1, 2.24928, 0.1, 170,20, 0, 11, 11, 11, 
0, 85.105, 2.71406, 0.1, 174,21, 0, 11, 11, 11, 
0, 90.11, 3.2923, 0.1, 181,22, 0, 11, 11, 11, 
0, 95.115, 2.06226, 0.1, 97,11, 0, 5, 5, 5, 
0, 100.12, 2.50712, 0.1, 104,13, 0, 5, 5, 5, 
0, 105.125, 3.04893, 0.1, 108,13, 0, 5, 5, 5, 
0, 110.13, 3.72469, 0.1, 114,14, 0, 5, 5, 5, 
0, 115.135, 2.25723, 0.1, 57,6, 0, 2, 2, 2, 
0, 120.14, 2.75645, 0.1, 59,6, 0, 2, 2, 2, 
0, 125.145, 3.34028, 0.1, 63,4, 0, 2, 2, 2, 
0, 130.15, 2.22615, 0.1, 34,2, 0, 1, 1, 1, 
0, 135.155, 2.74912, 0.1, 32,2, 0, 1, 1, 1, 
0, 140.16, 1.58354, 0.1, 15,0, 0, 0, 0, 0, 
0, 145.165, 1.94207, 0.1, 15,0, 0, 0, 0, 0, 
0, 150.17, 2.34711, 0.1, 15,0, 0, 0, 0, 0, 
0, 155.175, 2.88065, 0.1, 14,0, 0, 0, 0, 0, 
0, 160.18, 3.56276, 0.1, 14,0, 0, 0, 0, 0, 
0, 165.185, 2.08448, 0.1, 6,0, 0, 0, 0, 0, 
0, 170.19, 2.54944, 0.1, 6,0, 0, 0, 0, 0, 
0, 175.195, 3.1215, 0.1, 6,0, 0, 0, 0, 0, 
0, 180.2, 1.84803, 0.1, 2,0, 0, 0, 0, 0, 
0, 185.205, 2.28382, 0.1, 2,0, 0, 0, 0, 0, 
0, 190.21, 2.78704, 0.1, 2,0, 0, 0, 0, 0, 
0, 195.215, 3.3888, 0.1, 2,0, 0, 0, 0, 0, 
0, 200.22, 4.13994, 0.1, 2,0, 0, 0, 0, 0, 
0, 205.225, 2.74551, 0.1, 1,0, 0, 0, 0, 0, 
0, 210.23, 3.36867, 0.1, 1,0, 0, 0, 0, 0, 
0, 215.235, 2.02323, 0.1, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.50257, 0.1, 0,0, 0, 0, 0, 0, 
0, 225.245, 3.06154, 0.1, 0,0, 0, 0, 0, 0, 
0, 230.25, 3.73114, 0.1, 0,0, 0, 0, 0, 0, 
0, 235.255, 2.18272, 0.1, 0,0, 0, 0, 0, 0, 
