cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57011, 1e-05, 0,0, 1, 200, 200, 200, 
0, 5.025, 1.92915, 1e-05, 173,0, 5, 200, 200, 200, 
0, 10.03, 2.38745, 1e-05, 390,0, 16, 200, 200, 200, 
0, 15.035, 2.91112, 1e-05, 633,0, 29, 200, 200, 200, 
0, 20.04, 1.66796, 1e-05, 430,0, 17, 94, 94, 94, 
0, 25.045, 2.03637, 1e-05, 505,0, 23, 94, 94, 94, 
0, 30.05, 2.44543, 1e-05, 591,0, 23, 94, 94, 94, 
0, 35.055, 2.97817, 1e-05, 674,0, 24, 94, 94, 94, 
0, 40.06, 1.65901, 1e-05, 342,0, 10, 43, 43, 43, 
0, 45.065, 2.03031, 1e-05, 361,0, 9, 43, 43, 43, 
0, 50.07, 2.48059, 1e-05, 376,0, 9, 43, 43, 43, 
0, 55.075, 3.04021, 1e-05, 418,0, 11, 43, 43, 43, 
0, 60.08, 1.85268, 1e-05, 231,0, 5, 21, 21, 21, 
0, 65.085, 2.27571, 1e-05, 248,0, 4, 21, 21, 21, 
0, 70.09, 2.75149, 1e-05, 265,0, 5, 21, 21, 21, 
0, 75.095, 3.37165, 1e-05, 289,0, 6, 21, 21, 21, 
0, 80.1, 4.11771, 1e-05, 305,0, 6, 21, 21, 21, 
0, 85.105, 2.35093, 1e-05, 147,0, 3, 9, 9, 9, 
0, 90.11, 2.88196, 1e-05, 153,0, 3, 9, 9, 9, 
0, 95.115, 3.52663, 1e-05, 160,0, 3, 9, 9, 9, 
0, 100.12, 2.36981, 1e-05, 86,0, 1, 4, 4, 4, 
0, 105.125, 2.88106, 1e-05, 87,1, 1, 4, 4, 4, 
0, 110.13, 1.71771, 1e-05, 46,0, 0, 1, 1, 1, 
0, 115.135, 2.09573, 1e-05, 46,0, 0, 1, 1, 1, 
0, 120.14, 2.55615, 1e-05, 45,0, 0, 1, 1, 1, 
0, 125.145, 3.12744, 1e-05, 44,0, 0, 1, 1, 1, 
0, 130.15, 3.84999, 1e-05, 46,0, 0, 1, 1, 1, 
0, 135.155, 2.12165, 1e-05, 20,0, 0, 0, 0, 0, 
0, 140.16, 2.60631, 1e-05, 18,0, 0, 0, 0, 0, 
0, 145.165, 3.21115, 1e-05, 18,0, 0, 0, 0, 0, 
0, 150.17, 1.84264, 1e-05, 8,0, 0, 0, 0, 0, 
0, 155.175, 2.26426, 1e-05, 8,0, 0, 0, 0, 0, 
0, 160.18, 2.75755, 1e-05, 7,0, 0, 0, 0, 0, 
0, 165.185, 1.69187, 1e-05, 3,0, 0, 0, 0, 0, 
0, 170.19, 2.0597, 1e-05, 3,0, 0, 0, 0, 0, 
0, 175.195, 2.5132, 1e-05, 3,0, 0, 0, 0, 0, 
0, 180.2, 3.06165, 1e-05, 3,0, 0, 0, 0, 0, 
0, 185.205, 1.98663, 1e-05, 1,0, 0, 0, 0, 0, 
0, 190.21, 2.44633, 1e-05, 1,0, 0, 0, 0, 0, 
0, 195.215, 2.97407, 1e-05, 1,0, 0, 0, 0, 0, 
0, 200.22, 3.63243, 1e-05, 1,0, 0, 0, 0, 0, 
0, 205.225, 2.31162, 1e-05, 0,0, 0, 0, 0, 0, 
0, 210.23, 2.82495, 1e-05, 0,0, 0, 0, 0, 0, 
0, 215.235, 3.40159, 1e-05, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.27474, 1e-05, 0,0, 0, 0, 0, 0, 
0, 225.245, 2.76997, 1e-05, 0,0, 0, 0, 0, 0, 
0, 230.25, 3.37716, 1e-05, 0,0, 0, 0, 0, 0, 
