cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57154, 0.001, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.90377, 0.001, 179,0, 4, 200, 200, 200, 
0, 10.03, 2.34443, 0.001, 362,0, 8, 200, 200, 200, 
0, 15.035, 2.84797, 0.001, 605,0, 12, 200, 200, 200, 
0, 20.04, 3.46981, 0.001, 865,2, 20, 200, 200, 200, 
0, 25.045, 2.18177, 0.001, 527,1, 11, 102, 102, 102, 
0, 30.05, 2.67868, 0.001, 633,1, 11, 102, 102, 102, 
0, 35.055, 3.23982, 0.001, 742,1, 14, 102, 102, 102, 
0, 40.06, 1.93606, 0.001, 391,0, 6, 49, 49, 49, 
0, 45.065, 2.36438, 0.001, 426,0, 6, 49, 49, 49, 
0, 50.07, 2.8831, 0.001, 459,0, 7, 49, 49, 49, 
0, 55.075, 3.51554, 0.001, 518,0, 11, 49, 49, 49, 
0, 60.08, 2.15569, 0.001, 272,0, 5, 24, 24, 24, 
0, 65.085, 2.64171, 0.001, 289,0, 5, 24, 24, 24, 
0, 70.09, 3.23671, 0.001, 329,0, 5, 24, 24, 24, 
0, 75.095, 1.84108, 0.001, 158,0, 2, 11, 11, 11, 
0, 80.1, 2.23194, 0.001, 156,0, 3, 11, 11, 11, 
0, 85.105, 2.74028, 0.001, 161,0, 5, 11, 11, 11, 
0, 90.11, 3.31607, 0.001, 165,0, 5, 11, 11, 11, 
0, 95.115, 1.8593, 0.001, 77,0, 2, 5, 5, 5, 
0, 100.12, 2.2411, 0.001, 79,0, 2, 5, 5, 5, 
0, 105.125, 2.73641, 0.001, 76,0, 2, 5, 5, 5, 
0, 110.13, 3.37371, 0.001, 82,0, 2, 5, 5, 5, 
0, 115.135, 1.90315, 0.001, 36,0, 0, 2, 2, 2, 
0, 120.14, 2.29469, 0.001, 40,0, 1, 2, 2, 2, 
0, 125.145, 2.79248, 0.001, 41,0, 1, 2, 2, 2, 
0, 130.15, 3.41126, 0.001, 42,0, 1, 2, 2, 2, 
0, 135.155, 2.16747, 0.001, 23,0, 0, 1, 1, 1, 
0, 140.16, 2.66685, 0.001, 24,0, 0, 1, 1, 1, 
0, 145.165, 3.2633, 0.001, 23,0, 0, 1, 1, 1, 
0, 150.17, 3.97169, 0.001, 25,0, 0, 1, 1, 1, 
0, 155.175, 2.50005, 0.001, 11,0, 0, 0, 0, 0, 
0, 160.18, 3.06425, 0.001, 11,0, 0, 0, 0, 0, 
0, 165.185, 3.74029, 0.001, 11,0, 0, 0, 0, 0, 
0, 170.19, 2.12966, 0.001, 5,0, 0, 0, 0, 0, 
0, 175.195, 2.59697, 0.001, 5,0, 0, 0, 0, 0, 
0, 180.2, 3.17949, 0.001, 5,0, 0, 0, 0, 0, 
0, 185.205, 2.0664, 0.001, 2,0, 0, 0, 0, 0, 
0, 190.21, 2.50847, 0.001, 2,0, 0, 0, 0, 0, 
0, 195.215, 3.08003, 0.001, 2,0, 0, 0, 0, 0, 
0, 200.22, 1.9653, 0.001, 1,0, 0, 0, 0, 0, 
0, 205.225, 2.38289, 0.001, 1,0, 0, 0, 0, 0, 
0, 210.23, 2.88213, 0.001, 1,0, 0, 0, 0, 0, 
0, 215.235, 1.7517, 0.001, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.15209, 0.001, 0,0, 0, 0, 0, 0, 
0, 225.245, 2.61543, 0.001, 0,0, 0, 0, 0, 0, 
0, 230.25, 3.19443, 0.001, 0,0, 0, 0, 0, 0, 
0, 235.255, 2.15812, 0.001, 0,0, 0, 0, 0, 0, 
0, 240.26, 2.61754, 0.001, 0,0, 0, 0, 0, 0, 
0, 245.265, 1.71657, 0.001, 0,0, 0, 0, 0, 0, 
0, 250.27, 2.09766, 0.001, 0,0, 0, 0, 0, 0, 
0, 255.275, 2.56719, 0.001, 0,0, 0, 0, 0, 0, 
0, 260.28, 3.14908, 0.001, 0,0, 0, 0, 0, 0, 
0, 265.285, 2.08695, 0.001, 0,0, 0, 0, 0, 0, 
0, 270.29, 2.54315, 0.001, 0,0, 0, 0, 0, 0, 
0, 275.295, 3.12872, 0.001, 0,0, 0, 0, 0, 0, 
0, 280.3, 1.86851, 0.001, 0,0, 0, 0, 0, 0, 
