cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57035, 0.0001, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.91314, 0.0001, 161,0, 5, 200, 200, 200, 
0, 10.03, 2.32737, 0.0001, 355,0, 12, 200, 200, 200, 
0, 15.035, 2.85131, 0.0001, 615,0, 14, 200, 200, 200, 
0, 20.04, 3.4819, 0.0001, 872,0, 21, 200, 200, 200, 
0, 25.045, 2.18585, 0.0001, 547,0, 14, 103, 103, 103, 
0, 30.05, 2.6943, 0.0001, 657,0, 16, 103, 103, 103, 
0, 35.055, 3.28521, 0.0001, 807,0, 20, 103, 103, 103, 
0, 40.06, 2.06136, 0.0001, 476,0, 10, 52, 52, 52, 
0, 45.065, 2.52759, 0.0001, 502,0, 10, 52, 52, 52, 
0, 50.07, 3.08751, 0.0001, 537,0, 10, 52, 52, 52, 
0, 55.075, 3.79807, 0.0001, 605,0, 11, 52, 52, 52, 
0, 60.08, 2.55716, 0.0001, 332,0, 5, 28, 28, 28, 
0, 65.085, 3.09638, 0.0001, 348,0, 4, 28, 28, 28, 
0, 70.09, 3.75142, 0.0001, 384,0, 5, 28, 28, 28, 
0, 75.095, 2.21834, 0.0001, 198,0, 2, 13, 13, 13, 
0, 80.1, 2.69336, 0.0001, 207,0, 2, 13, 13, 13, 
0, 85.105, 3.30288, 0.0001, 210,0, 3, 13, 13, 13, 
0, 90.11, 2.07153, 0.0001, 110,0, 0, 6, 6, 6, 
0, 95.115, 2.52473, 0.0001, 109,0, 0, 6, 6, 6, 
0, 100.12, 3.0839, 0.0001, 111,0, 0, 6, 6, 6, 
0, 105.125, 1.83876, 0.0001, 56,0, 2, 2, 2, 2, 
0, 110.13, 2.23522, 0.0001, 56,0, 2, 2, 2, 2, 
0, 115.135, 2.7223, 0.0001, 57,0, 2, 2, 2, 2, 
0, 120.14, 3.32365, 0.0001, 57,0, 1, 2, 2, 2, 
0, 125.145, 2.10946, 0.0001, 28,0, 0, 1, 1, 1, 
0, 130.15, 2.60823, 0.0001, 30,0, 0, 1, 1, 1, 
0, 135.155, 3.15513, 0.0001, 32,0, 0, 1, 1, 1, 
0, 140.16, 3.84075, 0.0001, 35,0, 0, 1, 1, 1, 
0, 145.165, 2.54027, 0.0001, 18,0, 0, 0, 0, 0, 
0, 150.17, 3.12979, 0.0001, 17,0, 0, 0, 0, 0, 
0, 155.175, 1.84849, 0.0001, 7,0, 0, 0, 0, 0, 
0, 160.18, 2.23665, 0.0001, 7,0, 0, 0, 0, 0, 
0, 165.185, 2.74062, 0.0001, 7,0, 0, 0, 0, 0, 
0, 170.19, 3.30752, 0.0001, 6,0, 0, 0, 0, 0, 
0, 175.195, 2.11361, 0.0001, 2,0, 0, 0, 0, 0, 
0, 180.2, 2.6016, 0.0001, 2,0, 0, 0, 0, 0, 
0, 185.205, 3.19365, 0.0001, 2,0, 0, 0, 0, 0, 
0, 190.21, 2.05259, 0.0001, 1,0, 0, 0, 0, 0, 
0, 195.215, 2.50616, 0.0001, 1,0, 0, 0, 0, 0, 
0, 200.22, 3.05638, 0.0001, 1,0, 0, 0, 0, 0, 
0, 205.225, 2.01273, 0.0001, 0,0, 0, 0, 0, 0, 
0, 210.23, 2.47891, 0.0001, 0,0, 0, 0, 0, 0, 
0, 215.235, 3.03145, 0.0001, 0,0, 0, 0, 0, 0, 
0, 220.24, 1.90449, 0.0001, 0,0, 0, 0, 0, 0, 
0, 225.245, 2.31402, 0.0001, 0,0, 0, 0, 0, 0, 
