cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57075, 1, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.91295, 1, 171,179, 0, 200, 200, 200, 
0, 10.03, 2.35219, 1, 358,362, 0, 200, 200, 200, 
0, 15.035, 2.89874, 1, 609,584, 0, 200, 200, 200, 
0, 20.04, 1.77182, 1, 393,392, 0, 100, 100, 100, 
0, 25.045, 2.16177, 1, 480,465, 0, 100, 100, 100, 
0, 30.05, 2.61892, 1, 564,560, 0, 100, 100, 100, 
0, 35.055, 3.19076, 1, 653,690, 0, 100, 100, 100, 
0, 40.06, 3.92193, 1, 786,815, 0, 100, 100, 100, 
0, 45.065, 2.62212, 1, 508,520, 0, 54, 54, 54, 
0, 50.07, 1.49003, 1, 254,262, 0, 25, 25, 25, 
0, 55.075, 1.83353, 1, 251,258, 0, 25, 25, 25, 
0, 60.08, 2.24589, 1, 267,274, 0, 25, 25, 25, 
0, 65.085, 2.7871, 1, 293,305, 0, 25, 25, 25, 
0, 70.09, 3.39805, 1, 320,332, 0, 25, 25, 25, 
0, 75.095, 4.12854, 1, 348,372, 0, 25, 25, 25, 
0, 80.1, 2.30437, 1, 160,175, 0, 11, 11, 11, 
0, 85.105, 2.79632, 1, 168,183, 0, 11, 11, 11, 
0, 90.11, 3.44228, 1, 175,194, 0, 11, 11, 11, 
0, 95.115, 2.02296, 1, 84,92, 0, 5, 5, 5, 
0, 100.12, 2.47251, 1, 85,89, 0, 5, 5, 5, 
0, 105.125, 3.02604, 1, 88,90, 0, 5, 5, 5, 
0, 110.13, 1.89215, 1, 49,48, 0, 2, 2, 2, 
0, 115.135, 2.30584, 1, 49,44, 0, 2, 2, 2, 
0, 120.14, 2.84704, 1, 51,47, 0, 2, 2, 2, 
0, 125.145, 1.69777, 1, 25,22, 0, 0, 0, 0, 
0, 130.15, 2.06063, 1, 24,22, 0, 0, 0, 0, 
0, 135.155, 2.49888, 1, 24,21, 0, 0, 0, 0, 
0, 140.16, 3.06447, 1, 24,20, 0, 0, 0, 0, 
0, 145.165, 2.00432, 1, 12,10, 0, 0, 0, 0, 
0, 150.17, 2.43944, 1, 12,10, 0, 0, 0, 0, 
0, 155.175, 2.99204, 1, 12,10, 0, 0, 0, 0, 
0, 160.18, 2.00788, 1, 6,4, 0, 0, 0, 0, 
0, 165.185, 2.43887, 1, 6,4, 0, 0, 0, 0, 
0, 170.19, 2.97187, 1, 6,4, 0, 0, 0, 0, 
0, 175.195, 3.62015, 1, 6,4, 0, 0, 0, 0, 
0, 180.2, 2.33722, 1, 3,1, 0, 0, 0, 0, 
0, 185.205, 2.8335, 1, 3,1, 0, 0, 0, 0, 
0, 190.21, 3.45196, 1, 3,1, 0, 0, 0, 0, 
0, 195.215, 1.97805, 1, 1,0, 0, 0, 0, 0, 
0, 200.22, 2.41674, 1, 1,0, 0, 0, 0, 0, 
