cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57032, 1, 1,0, 0, 200, 200, 200, 
0, 5.025, 1.91332, 1, 185,178, 2, 200, 200, 200, 
0, 10.03, 2.30553, 1, 422,375, 2, 200, 200, 200, 
0, 15.035, 2.78952, 1, 634,611, 2, 200, 200, 200, 
0, 20.04, 3.40506, 1, 909,868, 4, 200, 200, 200, 
0, 25.045, 2.02905, 1, 517,495, 2, 97, 97, 97, 
0, 30.05, 2.45597, 1, 592,581, 3, 97, 97, 97, 
0, 35.055, 2.98531, 1, 680,683, 4, 97, 97, 97, 
0, 40.06, 3.67823, 1, 794,815, 5, 97, 97, 97, 
0, 45.065, 2.33668, 1, 485,495, 3, 49, 49, 49, 
0, 50.07, 2.83804, 1, 532,538, 3, 49, 49, 49, 
0, 55.075, 3.47261, 1, 571,574, 3, 49, 49, 49, 
0, 60.08, 4.26911, 1, 623,632, 2, 49, 49, 49, 
0, 65.085, 2.55744, 1, 327,340, 0, 24, 24, 24, 
0, 70.09, 3.12062, 1, 340,352, 0, 24, 24, 24, 
0, 75.095, 1.80354, 1, 175,176, 0, 11, 11, 11, 
0, 80.1, 2.17804, 1, 177,178, 1, 11, 11, 11, 
0, 85.105, 2.67315, 1, 187,184, 1, 11, 11, 11, 
0, 90.11, 3.25137, 1, 198,194, 1, 11, 11, 11, 
0, 95.115, 1.93104, 1, 103,98, 0, 5, 5, 5, 
0, 100.12, 2.34651, 1, 105,98, 0, 5, 5, 5, 
0, 105.125, 2.84757, 1, 102,99, 0, 5, 5, 5, 
0, 110.13, 3.46308, 1, 103,100, 0, 5, 5, 5, 
0, 115.135, 2.26814, 1, 54,56, 0, 2, 2, 2, 
0, 120.14, 2.77665, 1, 54,53, 0, 2, 2, 2, 
0, 125.145, 3.39541, 1, 55,51, 0, 2, 2, 2, 
0, 130.15, 2.07351, 1, 27,26, 0, 1, 1, 1, 
0, 135.155, 2.53483, 1, 27,24, 0, 1, 1, 1, 
0, 140.16, 3.09622, 1, 27,26, 0, 1, 1, 1, 
0, 145.165, 1.96144, 1, 13,12, 0, 0, 0, 0, 
0, 150.17, 2.39284, 1, 13,10, 0, 0, 0, 0, 
0, 155.175, 2.9096, 1, 13,10, 0, 0, 0, 0, 
0, 160.18, 3.56851, 1, 13,10, 0, 0, 0, 0, 
0, 165.185, 2.17038, 1, 6,4, 0, 0, 0, 0, 
0, 170.19, 2.67035, 1, 6,4, 0, 0, 0, 0, 
0, 175.195, 1.51695, 1, 2,1, 0, 0, 0, 0, 
0, 180.2, 1.83543, 1, 2,1, 0, 0, 0, 0, 
0, 185.205, 2.22981, 1, 2,1, 0, 0, 0, 0, 
0, 190.21, 2.73215, 1, 1,1, 0, 0, 0, 0, 
0, 195.215, 3.32635, 1, 1,1, 0, 0, 0, 0, 
0, 200.22, 2.05403, 1, 0,0, 0, 0, 0, 0, 
0, 205.225, 2.5255, 1, 0,0, 0, 0, 0, 0, 
0, 210.23, 3.07066, 1, 0,0, 0, 0, 0, 0, 
0, 215.235, 3.72954, 1, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.44594, 1, 0,0, 0, 0, 0, 0, 
0, 225.245, 2.99895, 1, 0,0, 0, 0, 0, 0, 
0, 230.25, 1.69309, 1, 0,0, 0, 0, 0, 0, 
0, 235.255, 2.07284, 1, 0,0, 0, 0, 0, 0, 
0, 240.26, 2.5146, 1, 0,0, 0, 0, 0, 0, 
0, 245.265, 3.0971, 1, 0,0, 0, 0, 0, 0, 
0, 250.27, 2.02956, 1, 0,0, 0, 0, 0, 0, 
0, 255.275, 2.48711, 1, 0,0, 0, 0, 0, 0, 
0, 260.28, 3.02195, 1, 0,0, 0, 0, 0, 0, 
0, 265.285, 1.95838, 1, 0,0, 0, 0, 0, 0, 
0, 270.29, 2.41604, 1, 0,0, 0, 0, 0, 0, 
0, 275.295, 2.94238, 1, 0,0, 0, 0, 0, 0, 
0, 280.3, 1.86557, 1, 0,0, 0, 0, 0, 0, 
0, 285.305, 2.25358, 1, 0,0, 0, 0, 0, 0, 
0, 290.31, 2.7709, 1, 0,0, 0, 0, 0, 0, 
0, 295.315, 3.39456, 1, 0,0, 0, 0, 0, 0, 
0, 300.32, 2.1802, 1, 0,0, 0, 0, 0, 0, 
0, 305.325, 2.64389, 1, 0,0, 0, 0, 0, 0, 
0, 310.33, 3.24007, 1, 0,0, 0, 0, 0, 0, 
0, 315.335, 3.9553, 1, 0,0, 0, 0, 0, 0, 
0, 320.34, 2.24196, 1, 0,0, 0, 0, 0, 0, 
0, 325.345, 2.7383, 1, 0,0, 0, 0, 0, 0, 
0, 330.35, 3.36588, 1, 0,0, 0, 0, 0, 0, 
0, 335.355, 4.08409, 1, 0,0, 0, 0, 0, 0, 
0, 340.36, 2.62866, 1, 0,0, 0, 0, 0, 0, 
0, 345.365, 3.1885, 1, 0,0, 0, 0, 0, 0, 
0, 350.37, 1.79329, 1, 0,0, 0, 0, 0, 0, 
0, 355.375, 2.19254, 1, 0,0, 0, 0, 0, 0, 
0, 360.38, 2.69949, 1, 0,0, 0, 0, 0, 0, 
0, 365.385, 3.31428, 1, 0,0, 0, 0, 0, 0, 
0, 370.39, 2.13701, 1, 0,0, 0, 0, 0, 0, 
0, 375.395, 2.60283, 1, 0,0, 0, 0, 0, 0, 
0, 380.4, 3.21011, 1, 0,0, 0, 0, 0, 0, 
0, 385.405, 1.79972, 1, 0,0, 0, 0, 0, 0, 
0, 390.41, 2.17065, 1, 0,0, 0, 0, 0, 0, 
0, 395.415, 2.69624, 1, 0,0, 0, 0, 0, 0, 
0, 400.42, 3.31008, 1, 0,0, 0, 0, 0, 0, 
0, 405.425, 2.09183, 1, 0,0, 0, 0, 0, 0, 
0, 410.43, 2.56064, 1, 0,0, 0, 0, 0, 0, 
0, 415.435, 1.59591, 1, 0,0, 0, 0, 0, 0, 
0, 420.44, 1.95922, 1, 0,0, 0, 0, 0, 0, 
0, 425.445, 2.38113, 1, 0,0, 0, 0, 0, 0, 
0, 430.45, 2.93336, 1, 0,0, 0, 0, 0, 0, 
