cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57016, 1e-05, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.92956, 1e-05, 181,0, 7, 200, 200, 200, 
0, 10.03, 2.35454, 1e-05, 386,0, 15, 200, 200, 200, 
0, 15.035, 2.86842, 1e-05, 612,0, 17, 200, 200, 200, 
0, 20.04, 1.65739, 1e-05, 410,0, 11, 95, 95, 95, 
0, 25.045, 2.00721, 1e-05, 493,0, 13, 95, 95, 95, 
0, 30.05, 2.43589, 1e-05, 569,0, 14, 95, 95, 95, 
0, 35.055, 2.98362, 1e-05, 679,0, 16, 95, 95, 95, 
0, 40.06, 3.62608, 1e-05, 809,0, 17, 95, 95, 95, 
0, 45.065, 2.05768, 1e-05, 397,0, 9, 44, 44, 44, 
0, 50.07, 2.51809, 1e-05, 429,0, 11, 44, 44, 44, 
0, 55.075, 3.10066, 1e-05, 469,0, 12, 44, 44, 44, 
0, 60.08, 1.88341, 1e-05, 244,0, 6, 21, 21, 21, 
0, 65.085, 2.27819, 1e-05, 252,0, 8, 21, 21, 21, 
0, 70.09, 2.78004, 1e-05, 263,0, 7, 21, 21, 21, 
0, 75.095, 3.38878, 1e-05, 281,0, 8, 21, 21, 21, 
0, 80.1, 2.09961, 1e-05, 142,0, 5, 10, 10, 10, 
0, 85.105, 2.54475, 1e-05, 135,0, 5, 10, 10, 10, 
0, 90.11, 3.13304, 1e-05, 138,0, 5, 10, 10, 10, 
0, 95.115, 3.82134, 1e-05, 144,0, 6, 10, 10, 10, 
0, 100.12, 2.47582, 1e-05, 77,0, 3, 5, 5, 5, 
0, 105.125, 3.06112, 1e-05, 79,0, 3, 5, 5, 5, 
0, 110.13, 2.01004, 1e-05, 44,0, 1, 2, 2, 2, 
0, 115.135, 2.43265, 1e-05, 45,0, 1, 2, 2, 2, 
0, 120.14, 2.98907, 1e-05, 44,0, 1, 2, 2, 2, 
0, 125.145, 3.66025, 1e-05, 44,0, 1, 2, 2, 2, 
0, 130.15, 2.1968, 1e-05, 19,0, 0, 0, 0, 0, 
0, 135.155, 2.64808, 1e-05, 18,0, 0, 0, 0, 0, 
0, 140.16, 3.22213, 1e-05, 17,0, 0, 0, 0, 0, 
0, 145.165, 1.77522, 1e-05, 7,0, 0, 0, 0, 0, 
0, 150.17, 2.15949, 1e-05, 7,0, 0, 0, 0, 0, 
0, 155.175, 2.62989, 1e-05, 6,0, 0, 0, 0, 0, 
0, 160.18, 3.19102, 1e-05, 6,0, 0, 0, 0, 0, 
0, 165.185, 1.86326, 1e-05, 2,0, 0, 0, 0, 0, 
0, 170.19, 2.26154, 1e-05, 2,0, 0, 0, 0, 0, 
0, 175.195, 2.75432, 1e-05, 2,0, 0, 0, 0, 0, 
0, 180.2, 3.34093, 1e-05, 2,0, 0, 0, 0, 0, 
0, 185.205, 1.99437, 1e-05, 0,0, 0, 0, 0, 0, 
0, 190.21, 2.43249, 1e-05, 0,0, 0, 0, 0, 0, 
0, 195.215, 2.96904, 1e-05, 0,0, 0, 0, 0, 0, 
0, 200.22, 1.95578, 1e-05, 0,0, 0, 0, 0, 0, 
0, 205.225, 2.4186, 1e-05, 0,0, 0, 0, 0, 0, 
0, 210.23, 2.93695, 1e-05, 0,0, 0, 0, 0, 0, 
0, 215.235, 3.60283, 1e-05, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.08901, 1e-05, 0,0, 0, 0, 0, 0, 
0, 225.245, 2.53004, 1e-05, 0,0, 0, 0, 0, 0, 
0, 230.25, 3.12415, 1e-05, 0,0, 0, 0, 0, 0, 
0, 235.255, 2.06362, 1e-05, 0,0, 0, 0, 0, 0, 
0, 240.26, 2.51382, 1e-05, 0,0, 0, 0, 0, 0, 
0, 245.265, 3.06282, 1e-05, 0,0, 0, 0, 0, 0, 
