cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57032, 0.001, 1,0, 0, 200, 200, 200, 
0, 5.025, 1.91332, 0.001, 185,1, 9, 200, 200, 200, 
0, 10.03, 2.30553, 0.001, 422,2, 7, 200, 200, 200, 
0, 15.035, 2.78952, 0.001, 634,2, 7, 200, 200, 200, 
0, 20.04, 3.40506, 0.001, 909,2, 10, 200, 200, 200, 
0, 25.045, 2.02905, 0.001, 517,1, 5, 97, 97, 97, 
0, 30.05, 2.45597, 0.001, 592,0, 7, 97, 97, 97, 
0, 35.055, 2.98531, 0.001, 680,0, 10, 97, 97, 97, 
0, 40.06, 3.67823, 0.001, 794,0, 11, 97, 97, 97, 
0, 45.065, 2.33668, 0.001, 485,0, 6, 49, 49, 49, 
0, 50.07, 2.83804, 0.001, 532,0, 6, 49, 49, 49, 
0, 55.075, 3.47261, 0.001, 571,0, 7, 49, 49, 49, 
0, 60.08, 4.26911, 0.001, 623,0, 6, 49, 49, 49, 
0, 65.085, 2.55744, 0.001, 327,0, 2, 24, 24, 24, 
0, 70.09, 3.12062, 0.001, 340,0, 2, 24, 24, 24, 
0, 75.095, 1.80354, 0.001, 175,0, 0, 11, 11, 11, 
0, 80.1, 2.17804, 0.001, 177,0, 2, 11, 11, 11, 
0, 85.105, 2.67315, 0.001, 187,0, 2, 11, 11, 11, 
0, 90.11, 3.25137, 0.001, 198,0, 3, 11, 11, 11, 
0, 95.115, 1.93104, 0.001, 103,0, 0, 5, 5, 5, 
0, 100.12, 2.34651, 0.001, 105,0, 0, 5, 5, 5, 
0, 105.125, 2.84757, 0.001, 102,0, 0, 5, 5, 5, 
0, 110.13, 3.46308, 0.001, 103,0, 1, 5, 5, 5, 
0, 115.135, 2.26814, 0.001, 54,0, 0, 2, 2, 2, 
0, 120.14, 2.77665, 0.001, 54,0, 0, 2, 2, 2, 
0, 125.145, 3.39541, 0.001, 55,0, 0, 2, 2, 2, 
0, 130.15, 2.07351, 0.001, 27,0, 0, 1, 1, 1, 
0, 135.155, 2.53483, 0.001, 27,0, 0, 1, 1, 1, 
0, 140.16, 3.09622, 0.001, 27,0, 0, 1, 1, 1, 
0, 145.165, 1.96144, 0.001, 13,0, 0, 0, 0, 0, 
0, 150.17, 2.39284, 0.001, 13,0, 0, 0, 0, 0, 
0, 155.175, 2.9096, 0.001, 13,0, 0, 0, 0, 0, 
0, 160.18, 3.56851, 0.001, 13,0, 0, 0, 0, 0, 
0, 165.185, 2.17038, 0.001, 6,0, 0, 0, 0, 0, 
0, 170.19, 2.67035, 0.001, 6,0, 0, 0, 0, 0, 
0, 175.195, 1.51695, 0.001, 2,0, 0, 0, 0, 0, 
0, 180.2, 1.83543, 0.001, 2,0, 0, 0, 0, 0, 
0, 185.205, 2.22981, 0.001, 2,0, 0, 0, 0, 0, 
0, 190.21, 2.73215, 0.001, 1,0, 0, 0, 0, 0, 
0, 195.215, 3.32635, 0.001, 1,0, 0, 0, 0, 0, 
0, 200.22, 2.05403, 0.001, 0,0, 0, 0, 0, 0, 
0, 205.225, 2.5255, 0.001, 0,0, 0, 0, 0, 0, 
0, 210.23, 3.07066, 0.001, 0,0, 0, 0, 0, 0, 
0, 215.235, 3.72954, 0.001, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.44594, 0.001, 0,0, 0, 0, 0, 0, 
