cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57004, 0.01, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.90398, 0.01, 169,1, 3, 200, 200, 200, 
0, 10.03, 2.32177, 0.01, 374,5, 5, 200, 200, 200, 
0, 15.035, 2.85218, 0.01, 622,7, 6, 200, 200, 200, 
0, 20.04, 3.49428, 0.01, 898,9, 6, 200, 200, 200, 
0, 25.045, 4.26333, 0.01, 1254,11, 8, 200, 200, 200, 
0, 30.05, 2.55975, 0.01, 680,5, 3, 97, 97, 97, 
0, 35.055, 3.10518, 0.01, 763,8, 3, 97, 97, 97, 
0, 40.06, 1.84086, 0.01, 408,4, 1, 46, 46, 46, 
0, 45.065, 2.24462, 0.01, 423,4, 1, 46, 46, 46, 
0, 50.07, 2.76817, 0.01, 461,4, 1, 46, 46, 46, 
0, 55.075, 1.84143, 0.01, 259,3, 0, 25, 25, 25, 
0, 60.08, 2.25745, 0.01, 273,4, 0, 25, 25, 25, 
0, 65.085, 2.76922, 0.01, 290,5, 0, 25, 25, 25, 
0, 70.09, 3.38696, 0.01, 308,5, 0, 25, 25, 25, 
0, 75.095, 4.18516, 0.01, 335,4, 0, 25, 25, 25, 
0, 80.1, 2.70484, 0.01, 176,2, 0, 13, 13, 13, 
0, 85.105, 3.31186, 0.01, 188,2, 0, 13, 13, 13, 
0, 90.11, 1.98599, 0.01, 93,0, 0, 6, 6, 6, 
0, 95.115, 2.4264, 0.01, 99,0, 0, 6, 6, 6, 
0, 100.12, 2.95368, 0.01, 94,0, 1, 6, 6, 6, 
0, 105.125, 3.59748, 0.01, 99,0, 1, 6, 6, 6, 
0, 110.13, 2.18219, 0.01, 48,0, 0, 3, 3, 3, 
0, 115.135, 2.65826, 0.01, 55,0, 0, 3, 3, 3, 
0, 120.14, 3.26071, 0.01, 56,0, 0, 3, 3, 3, 
0, 125.145, 1.79626, 0.01, 23,0, 0, 1, 1, 1, 
0, 130.15, 2.17979, 0.01, 24,0, 0, 1, 1, 1, 
0, 135.155, 2.65823, 0.01, 25,0, 0, 1, 1, 1, 
0, 140.16, 3.25145, 0.01, 24,0, 0, 1, 1, 1, 
0, 145.165, 2.10524, 0.01, 13,0, 0, 0, 0, 0, 
0, 150.17, 2.60036, 0.01, 11,0, 0, 0, 0, 0, 
0, 155.175, 3.1665, 0.01, 11,0, 0, 0, 0, 0, 
0, 160.18, 3.86338, 0.01, 11,0, 0, 0, 0, 0, 
0, 165.185, 2.42724, 0.01, 5,0, 0, 0, 0, 0, 
0, 170.19, 2.98017, 0.01, 5,0, 0, 0, 0, 0, 
0, 175.195, 3.6368, 0.01, 5,0, 0, 0, 0, 0, 
0, 180.2, 2.04546, 0.01, 2,0, 0, 0, 0, 0, 
0, 185.205, 2.49735, 0.01, 2,0, 0, 0, 0, 0, 
0, 190.21, 3.06593, 0.01, 2,0, 0, 0, 0, 0, 
0, 195.215, 1.8924, 0.01, 0,0, 0, 0, 0, 0, 
0, 200.22, 2.29589, 0.01, 0,0, 0, 0, 0, 0, 
0, 205.225, 2.7809, 0.01, 0,0, 0, 0, 0, 0, 
0, 210.23, 3.38818, 0.01, 0,0, 0, 0, 0, 0, 
0, 215.235, 4.13662, 0.01, 0,0, 0, 0, 0, 0, 
0, 220.24, 2.52819, 0.01, 0,0, 0, 0, 0, 0, 
