cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57037, 0.0001, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.9171, 0.0001, 140,0, 6, 200, 200, 200, 
0, 10.03, 2.34391, 0.0001, 361,0, 13, 200, 200, 200, 
0, 15.035, 2.88545, 0.0001, 584,0, 18, 200, 200, 200, 
0, 20.04, 3.52815, 0.0001, 821,0, 24, 200, 200, 200, 
0, 25.045, 2.21064, 0.0001, 532,0, 14, 100, 100, 100, 
0, 30.05, 2.68991, 0.0001, 629,0, 20, 100, 100, 100, 
0, 35.055, 3.2803, 0.0001, 746,0, 21, 100, 100, 100, 
0, 40.06, 1.92712, 0.0001, 405,0, 11, 48, 48, 48, 
0, 45.065, 2.34262, 0.0001, 435,0, 11, 48, 48, 48, 
0, 50.07, 2.85865, 0.0001, 459,0, 10, 48, 48, 48, 
0, 55.075, 1.63827, 0.0001, 250,0, 4, 22, 22, 22, 
0, 60.08, 2.00798, 0.0001, 256,0, 4, 22, 22, 22, 
0, 65.085, 2.44093, 0.0001, 269,0, 5, 22, 22, 22, 
0, 70.09, 2.97719, 0.0001, 282,0, 6, 22, 22, 22, 
0, 75.095, 1.83834, 0.0001, 158,0, 3, 11, 11, 11, 
0, 80.1, 2.24848, 0.0001, 165,0, 3, 11, 11, 11, 
0, 85.105, 2.75847, 0.0001, 170,0, 4, 11, 11, 11, 
0, 90.11, 3.37274, 0.0001, 178,0, 4, 11, 11, 11, 
0, 95.115, 2.16957, 0.0001, 96,0, 3, 5, 5, 5, 
0, 100.12, 2.64484, 0.0001, 99,0, 3, 5, 5, 5, 
0, 105.125, 3.21812, 0.0001, 98,0, 4, 5, 5, 5, 
0, 110.13, 1.92971, 0.0001, 51,0, 1, 2, 2, 2, 
0, 115.135, 2.32671, 0.0001, 52,0, 1, 2, 2, 2, 
0, 120.14, 2.8567, 0.0001, 52,0, 1, 2, 2, 2, 
0, 125.145, 1.71568, 0.0001, 25,0, 0, 0, 0, 0, 
0, 130.15, 2.10833, 0.0001, 25,0, 0, 0, 0, 0, 
0, 135.155, 2.57126, 0.0001, 24,0, 0, 0, 0, 0, 
0, 140.16, 1.71025, 0.0001, 13,0, 0, 0, 0, 0, 
0, 145.165, 2.1047, 0.0001, 12,0, 0, 0, 0, 0, 
0, 150.17, 2.55978, 0.0001, 12,0, 0, 0, 0, 0, 
0, 155.175, 3.10811, 0.0001, 11,0, 0, 0, 0, 0, 
0, 160.18, 1.90491, 0.0001, 4,0, 0, 0, 0, 0, 
0, 165.185, 2.33254, 0.0001, 4,0, 0, 0, 0, 0, 
0, 170.19, 2.86633, 0.0001, 4,0, 0, 0, 0, 0, 
0, 175.195, 1.67496, 0.0001, 1,0, 0, 0, 0, 0, 
0, 180.2, 2.048, 0.0001, 1,0, 0, 0, 0, 0, 
0, 185.205, 2.46526, 0.0001, 1,0, 0, 0, 0, 0, 
0, 190.21, 3.00394, 0.0001, 1,0, 0, 0, 0, 0, 
0, 195.215, 1.93818, 0.0001, 0,0, 0, 0, 0, 0, 
0, 200.22, 2.36746, 0.0001, 0,0, 0, 0, 0, 0, 
